year,event_key,winning_alliance,alliance_1_captain,alliance_1_pick_2,alliance_1_pick_3,alliance_2_captain,alliance_2_pick_2,alliance_2_pick_3,alliance_3_captain,alliance_3_pick_2,alliance_3_pick_3,alliance_4_captain,alliance_4_pick_2,alliance_4_pick_3,alliance_5_captain,alliance_5_pick_2,alliance_5_pick_3,alliance_6_captain,alliance_6_pick_2,alliance_6_pick_3,alliance_7_captain,alliance_7_pick_2,alliance_7_pick_3,alliance_8_captain,alliance_8_pick_2,alliance_8_pick_3,alliance_1_captain_epa,alliance_1_captain_epa_norm,alliance_1_captain_rp_1,alliance_1_captain_rp_2,alliance_1_pick_2_epa,alliance_1_pick_2_epa_norm,alliance_1_pick_2_rp_1,alliance_1_pick_2_rp_2,alliance_1_pick_3_epa,alliance_1_pick_3_epa_norm,alliance_1_pick_3_rp_1,alliance_1_pick_3_rp_2,alliance_2_captain_epa,alliance_2_captain_epa_norm,alliance_2_captain_rp_1,alliance_2_captain_rp_2,alliance_2_pick_2_epa,alliance_2_pick_2_epa_norm,alliance_2_pick_2_rp_1,alliance_2_pick_2_rp_2,alliance_2_pick_3_epa,alliance_2_pick_3_epa_norm,alliance_2_pick_3_rp_1,alliance_2_pick_3_rp_2,alliance_3_captain_epa,alliance_3_captain_epa_norm,alliance_3_captain_rp_1,alliance_3_captain_rp_2,alliance_3_pick_2_epa,alliance_3_pick_2_epa_norm,alliance_3_pick_2_rp_1,alliance_3_pick_2_rp_2,alliance_3_pick_3_epa,alliance_3_pick_3_epa_norm,alliance_3_pick_3_rp_1,alliance_3_pick_3_rp_2,alliance_4_captain_epa,alliance_4_captain_epa_norm,alliance_4_captain_rp_1,alliance_4_captain_rp_2,alliance_4_pick_2_epa,alliance_4_pick_2_epa_norm,alliance_4_pick_2_rp_1,alliance_4_pick_2_rp_2,alliance_4_pick_3_epa,alliance_4_pick_3_epa_norm,alliance_4_pick_3_rp_1,alliance_4_pick_3_rp_2,alliance_5_captain_epa,alliance_5_captain_epa_norm,alliance_5_captain_rp_1,alliance_5_captain_rp_2,alliance_5_pick_2_epa,alliance_5_pick_2_epa_norm,alliance_5_pick_2_rp_1,alliance_5_pick_2_rp_2,alliance_5_pick_3_epa,alliance_5_pick_3_epa_norm,alliance_5_pick_3_rp_1,alliance_5_pick_3_rp_2,alliance_6_captain_epa,alliance_6_captain_epa_norm,alliance_6_captain_rp_1,alliance_6_captain_rp_2,alliance_6_pick_2_epa,alliance_6_pick_2_epa_norm,alliance_6_pick_2_rp_1,alliance_6_pick_2_rp_2,alliance_6_pick_3_epa,alliance_6_pick_3_epa_norm,alliance_6_pick_3_rp_1,alliance_6_pick_3_rp_2,alliance_7_captain_epa,alliance_7_captain_epa_norm,alliance_7_captain_rp_1,alliance_7_captain_rp_2,alliance_7_pick_2_epa,alliance_7_pick_2_epa_norm,alliance_7_pick_2_rp_1,alliance_7_pick_2_rp_2,alliance_7_pick_3_epa,alliance_7_pick_3_epa_norm,alliance_7_pick_3_rp_1,alliance_7_pick_3_rp_2,alliance_8_captain_epa,alliance_8_captain_epa_norm,alliance_8_captain_rp_1,alliance_8_captain_rp_2,alliance_8_pick_2_epa,alliance_8_pick_2_epa_norm,alliance_8_pick_2_rp_1,alliance_8_pick_2_rp_2,alliance_8_pick_3_epa,alliance_8_pick_3_epa_norm,alliance_8_pick_3_rp_1,alliance_8_pick_3_rp_2
2023,2023alhu,1,3937,4499,7072,1466,179,2556,3630.0,2992.0,6517.0,1038.0,8044.0,1747.0,6823.0,5472.0,5410.0,2438.0,7565.0,4576.0,3959.0,3284.0,5002.0,1622.0,233.0,3616.0,1797.0,1720.0,0.535,0.3892,1848.0,1778.0,0.5809,0.4158,1525.0,1511.0,0.0603,0.3359,1691.0,1618.0,0.2941,0.4988,1772.0,1692.0,0.3179,0.362,1570.0,1541.0,0.075,0.1045,1710.0,1630.0,0.3649,0.4383,1771.0,1690.0,0.4633,0.4768,1542.0,1523.0,0.1189,0.2472,1694.0,1620.0,0.397,0.3572,1639.0,1585.0,0.1902,0.1828,1591.0,1555.0,0.0404,0.3246,1640.0,1586.0,0.0122,0.2976,1811.0,1736.0,0.5296,0.3586,1466.0,1464.0,0.061,0.0772,1658.0,1597.0,0.3148,0.4271,1609.0,1566.0,0.1606,0.1523,1610.0,1567.0,0.076,0.2858,1603.0,1562.0,0.1095,0.2699,1594.0,1557.0,0.0938,0.3348,1516.0,1504.0,-0.1137,0.2324,1691.0,1618.0,0.3786,0.386,1636.0,1583.0,0.0471,0.0464,1656.0,1596.0,0.2618,0.2983
2023,2023arc,6,2056,254,27,118,6036,78,2607.0,4028.0,33.0,111.0,1561.0,3663.0,624.0,1577.0,1768.0,8085.0,6328.0,972.0,2468.0,2687.0,3015.0,1102.0,1619.0,4362.0,2001.0,1950.0,0.9105,0.5891,1945.0,1887.0,0.8864,0.4547,1712.0,1632.0,0.5831,0.2871,1866.0,1798.0,0.9061,0.6432,1915.0,1853.0,0.8053,0.357,1745.0,1658.0,0.4338,0.5637,1738.0,1651.0,0.3949,0.4316,1873.0,1806.0,0.6639,0.4326,1810.0,1735.0,0.4262,0.4449,1895.0,1831.0,0.6201,0.5199,1718.0,1635.0,0.2608,0.3218,1771.0,1691.0,0.4768,0.464,1828.0,1755.0,0.5198,0.4128,1904.0,1841.0,0.7474,0.3842,1827.0,1754.0,0.5756,0.4436,1770.0,1689.0,0.3922,0.4717,1801.0,1725.0,0.3736,0.2719,1823.0,1749.0,0.5009,0.3144,1899.0,1835.0,0.6747,0.5757,1810.0,1735.0,0.5101,0.465,1809.0,1734.0,0.5411,0.4409,1765.0,1682.0,0.3451,0.2404,1847.0,1777.0,0.3755,0.5433,1810.0,1735.0,0.7433,0.392
2023,2023arli,2,4522,3937,6055,4766,16,6586,7525.0,4336.0,5002.0,4265.0,1939.0,7106.0,3039.0,5454.0,5006.0,1561.0,3931.0,1997.0,3102.0,1038.0,9073.0,3284.0,9067.0,2393.0,1722.0,1637.0,0.0429,0.5166,1711.0,1631.0,0.1905,0.2226,1439.0,1440.0,-0.162,0.2144,1625.0,1577.0,0.0031,0.5143,1670.0,1605.0,0.1843,0.3009,1434.0,1435.0,-0.0656,-0.0163,1558.0,1534.0,-0.1597,0.5148,1603.0,1562.0,-0.1631,0.3856,1464.0,1463.0,-0.161,0.0835,1598.0,1559.0,-0.1622,0.4358,1563.0,1537.0,0.0045,0.1385,1441.0,1441.0,-0.1679,0.2619,1548.0,1527.0,-0.0622,0.2604,1536.0,1518.0,-0.1616,0.2426,1464.0,1463.0,-0.0584,-0.0494,1468.0,1467.0,-0.0658,0.2199,1462.0,1461.0,-0.0738,0.2967,1432.0,1432.0,-0.0821,0.1458,1515.0,1503.0,-0.1607,0.3618,1518.0,1506.0,-0.0588,0.268,1436.0,1436.0,-0.1628,0.204,1489.0,1484.0,-0.1566,0.2616,1501.0,1493.0,-0.0657,0.3068,1541.0,1522.0,-0.056,0.4677
2023,2023ausc,1,4613,6510,5988,3132,5584,4537,7433.0,6508.0,9146.0,6996.0,4774.0,7583.0,4817.0,4729.0,6432.0,9144.0,7128.0,4788.0,9191.0,5331.0,7163.0,9145.0,6434.0,5985.0,1784.0,1706.0,0.4411,0.5166,1641.0,1587.0,-0.0734,0.4076,1439.0,1439.0,-0.1591,0.2651,1617.0,1572.0,-0.1554,0.6118,1600.0,1560.0,0.1433,0.2158,1492.0,1486.0,-0.0936,0.1178,1649.0,1592.0,0.0175,0.3594,1580.0,1548.0,-0.0497,0.2425,1481.0,1477.0,-0.162,0.1605,1562.0,1536.0,-0.0752,0.3018,1508.0,1498.0,0.0426,0.1441,1481.0,1477.0,-0.0578,0.0743,1479.0,1476.0,0.0154,0.1517,1428.0,1428.0,-0.0701,-0.0211,1427.0,1428.0,-0.1589,0.2228,1457.0,1456.0,-0.0654,0.2529,1462.0,1461.0,-0.1535,0.1795,1497.0,1490.0,-0.1581,-0.0022,1473.0,1470.0,-0.0597,0.2048,1463.0,1462.0,0.0269,0.0782,1467.0,1466.0,-0.1589,0.001,1473.0,1471.0,-0.1653,0.1012,1443.0,1444.0,-0.158,0.3675,1485.0,1481.0,-0.0817,0.1358
2023,2023azgl,1,5199,498,1165,2403,1868,3019,6413.0,6968.0,4565.0,7426.0,7447.0,6833.0,6479.0,8848.0,6656.0,7645.0,2478.0,3944.0,5137.0,4146.0,8021.0,6947.0,4183.0,6352.0,1774.0,1694.0,0.3061,0.3336,1651.0,1593.0,0.3131,0.4334,1478.0,1475.0,-0.1056,0.1049,1627.0,1578.0,0.0826,0.4219,1688.0,1616.0,-0.0535,0.3691,1437.0,1437.0,-0.2062,0.063,1655.0,1595.0,0.2697,0.3187,1549.0,1527.0,0.0184,0.2108,1471.0,1469.0,-0.2263,0.39,1578.0,1546.0,0.1117,0.5433,1574.0,1544.0,0.0209,0.3637,1527.0,1512.0,-0.0248,0.2189,1563.0,1537.0,-0.0534,0.4547,1527.0,1512.0,0.0185,0.2504,1471.0,1469.0,-0.1757,0.2775,1558.0,1533.0,-0.0408,0.2142,1532.0,1516.0,0.0018,0.055,1548.0,1527.0,-0.0685,0.2579,1496.0,1489.0,-0.1291,0.199,1576.0,1545.0,-0.0049,0.2743,1526.0,1512.0,0.0228,-0.0331,1509.0,1499.0,-0.1031,0.3127,1503.0,1494.0,-0.0017,0.2122,1559.0,1534.0,-0.0716,0.3512
2023,2023azva,1,2659,6036,668,498,2122,4565,4415.0,2443.0,9059.0,7426.0,6968.0,4135.0,6413.0,2486.0,7130.0,1212.0,7645.0,60.0,2073.0,4146.0,991.0,1165.0,2478.0,2403.0,1694.0,1621.0,0.4856,0.4187,1762.0,1679.0,0.4997,0.3657,1450.0,1450.0,-0.0187,0.1443,1590.0,1554.0,0.0917,0.2771,1654.0,1595.0,-0.0326,0.2655,1466.0,1464.0,-0.1917,0.2422,1669.0,1604.0,0.083,0.5243,1632.0,1581.0,0.2561,0.2924,1435.0,1436.0,-0.1926,0.0781,1575.0,1545.0,0.045,0.4231,1472.0,1470.0,-0.0748,0.0784,1484.0,1480.0,-0.0132,0.0648,1600.0,1560.0,-0.0046,0.2386,1562.0,1536.0,0.0711,0.3587,1484.0,1480.0,0.0605,-0.041,1510.0,1500.0,-0.1053,0.3646,1528.0,1513.0,-0.074,0.2882,1479.0,1476.0,-0.0638,0.0693,1542.0,1523.0,-0.1909,0.1638,1528.0,1513.0,-0.0822,0.3395,1473.0,1470.0,-0.0169,0.1724,1449.0,1449.0,-0.074,0.0508,1519.0,1507.0,-0.0112,0.0453,1507.0,1497.0,-0.1325,0.1323
2023,2023bcvi,1,4613,359,244,4253,9180,8338,4421.0,1868.0,288.0,7287.0,4627.0,216.0,8871.0,6390.0,8339.0,5419.0,3256.0,7796.0,5997.0,6351.0,9277.0,8331.0,6364.0,7167.0,1686.0,1615.0,0.0437,0.4364,1734.0,1647.0,-0.0639,0.4559,1451.0,1451.0,-0.1561,0.1154,1640.0,1586.0,-0.0657,0.3244,1496.0,1490.0,-0.0631,0.1897,1439.0,1439.0,-0.0487,0.0837,1602.0,1562.0,-0.1573,0.4784,1559.0,1534.0,-0.1531,0.1981,1383.0,1378.0,-0.1522,0.0097,1534.0,1517.0,-0.1591,0.3013,1511.0,1501.0,-0.0477,0.3294,1404.0,1402.0,-0.1549,-0.1089,1471.0,1469.0,-0.1579,0.2527,1516.0,1504.0,-0.1549,0.279,1479.0,1476.0,-0.155,0.0791,1536.0,1518.0,-0.1529,0.2503,1500.0,1492.0,-0.1554,-0.067,1443.0,1444.0,-0.1552,0.1875,1457.0,1457.0,-0.157,0.2322,1445.0,1445.0,-0.1566,-0.0179,1421.0,1421.0,-0.1598,-0.0873,1409.0,1408.0,-0.0716,0.069,1492.0,1486.0,-0.1541,0.2616,1416.0,1416.0,-0.159,0.1635
2023,2023brbr,1,7563,1156,9168,1860,7567,9085,9047.0,9164.0,9046.0,9200.0,7565.0,9175.0,9305.0,9219.0,9166.0,9199.0,5800.0,8882.0,7033.0,7459.0,9165.0,9169.0,1772.0,8066.0,1550.0,1528.0,-0.152,0.4089,1599.0,1560.0,-0.1504,0.5643,1446.0,1446.0,-0.1524,0.311,1549.0,1527.0,-0.1502,0.5568,1613.0,1569.0,-0.1515,0.265,1394.0,1392.0,-0.1524,-0.114,1503.0,1494.0,-0.1524,0.1764,1551.0,1528.0,-0.0635,0.3555,1384.0,1379.0,-0.1524,-0.0433,1526.0,1511.0,-0.1525,0.4216,1534.0,1517.0,-0.0629,0.1402,1445.0,1445.0,-0.0636,0.1017,1475.0,1472.0,-0.1524,0.1295,1500.0,1492.0,-0.1524,0.013,1403.0,1402.0,-0.1524,-0.0558,1485.0,1481.0,-0.1524,0.0261,1500.0,1492.0,-0.1514,0.2793,1391.0,1388.0,-0.1524,0.1077,1443.0,1444.0,-0.1532,0.1996,1445.0,1445.0,-0.1518,0.0659,1424.0,1424.0,-0.1524,-0.0645,1490.0,1484.0,-0.1524,0.2883,1474.0,1472.0,-0.15,0.1256,1396.0,1393.0,-0.1524,-0.0552
2023,2023caav,1,7157,4414,7042,3476,9084,2375,2073.0,4415.0,6657.0,2659.0,3512.0,1197.0,4698.0,687.0,399.0,3669.0,8768.0,6417.0,8888.0,4014.0,5124.0,3749.0,4419.0,5012.0,1839.0,1767.0,0.5557,0.4604,1845.0,1774.0,0.777,0.5203,1524.0,1510.0,-0.0748,0.2117,1769.0,1688.0,0.3813,0.5372,1663.0,1601.0,0.2506,0.2694,1469.0,1468.0,0.0292,0.2473,1687.0,1616.0,0.1686,0.3334,1765.0,1682.0,0.209,0.5011,1484.0,1480.0,-0.0141,0.0956,1713.0,1632.0,0.5106,0.3548,1726.0,1641.0,0.3834,0.4721,1465.0,1464.0,-0.1718,0.2806,1636.0,1584.0,0.1665,0.3776,1718.0,1635.0,0.3448,0.292,1501.0,1493.0,-0.0539,0.1723,1644.0,1588.0,0.2857,0.363,1617.0,1572.0,0.2908,0.2044,1580.0,1547.0,0.1429,0.284,1563.0,1536.0,0.0597,0.2996,1483.0,1479.0,0.1834,0.392,1553.0,1530.0,0.0761,0.1355,1566.0,1539.0,0.1046,0.1223,1616.0,1571.0,-0.0407,0.4183,1411.0,1410.0,-0.1405,0.0786
2023,2023cada,1,254,1678,3189,5419,2551,5458,5026.0,8793.0,5700.0,766.0,1072.0,6619.0,2637.0,4159.0,6941.0,5274.0,8768.0,4135.0,2489.0,6662.0,7137.0,2288.0,3257.0,3501.0,1923.0,1862.0,0.7096,0.5245,1887.0,1821.0,0.72,0.6327,1458.0,1458.0,-0.2474,0.1622,1691.0,1618.0,0.3918,0.5007,1656.0,1596.0,0.132,0.3274,1507.0,1498.0,0.0392,0.427,1642.0,1587.0,0.2136,0.4294,1611.0,1568.0,0.1251,0.2922,1535.0,1518.0,-0.0968,0.1928,1593.0,1556.0,0.3639,0.253,1590.0,1554.0,-0.1369,0.2806,1474.0,1472.0,0.0463,0.0784,1547.0,1526.0,-0.0383,0.2929,1553.0,1530.0,-0.0925,0.1397,1553.0,1530.0,-0.0049,0.2065,1586.0,1551.0,0.1305,0.247,1557.0,1533.0,0.2288,0.3286,1552.0,1529.0,0.0637,0.2233,1504.0,1495.0,-0.0141,0.3652,1516.0,1505.0,-0.0687,0.355,1540.0,1521.0,-0.1213,0.3695,1520.0,1507.0,0.1365,0.2435,1565.0,1538.0,-0.0154,0.1547,1477.0,1474.0,-0.1408,0.425
